libeigen3-dev	3.4.0-2ubuntu2
ros-humble-nav-msgs	4.9.1-1jammy.20260304.214816
ros-humble-nav2-common	1.1.20-1jammy.20260421.072043
ros-humble-nav2-lifecycle-manager	1.1.20-1jammy.20260422.094245
ros-humble-nav2-map-server	1.1.20-1jammy.20260423.093726
ros-humble-nav2-msgs	1.1.20-1jammy.20260421.073455
ros-humble-nav2-util	1.1.20-1jammy.20260422.093306
ros-humble-orocos-kdl-vendor	0.2.5-1jammy.20260304.201339
ros-humble-osrf-pycommon	2.1.6-1jammy.20260226.011505
ros-humble-pcl-conversions	2.4.5-2jammy.20260421.073254
ros-humble-pcl-msgs	1.0.0-7jammy.20260304.220151
ros-humble-pcl-ros	2.4.5-2jammy.20260422.093745
ros-humble-pendulum-control	0.20.9-1jammy.20260325.232145
ros-humble-pendulum-msgs	0.20.9-1jammy.20260325.211014
ros-humble-pluginlib	5.1.3-1jammy.20260304.204826
ros-humble-pybind11-vendor	2.4.2-1jammy.20260304.195023
ros-humble-python-cmake-module	0.10.0-2jammy.20260304.202554
ros-humble-python-orocos-kdl-vendor	0.2.5-1jammy.20260304.202632
ros-humble-python-qt-binding	1.1.3-1jammy.20260304.202555
ros-humble-qt-dotgraph	2.2.4-1jammy.20260304.202840
ros-humble-qt-gui	2.2.4-1jammy.20260304.202951
ros-humble-qt-gui-cpp	2.2.4-1jammy.20260304.205127
ros-humble-qt-gui-py-common	2.2.4-1jammy.20260304.203510
ros-humble-quality-of-service-demo-cpp	0.20.9-1jammy.20260325.222356
ros-humble-quality-of-service-demo-py	0.20.9-1jammy.20260325.210912
ros-humble-rcl	5.3.12-1jammy.20260304.213336
ros-humble-rcl-action	5.3.12-1jammy.20260304.214545
ros-humble-rcl-interfaces	1.2.2-1jammy.20260304.212123
ros-humble-rcl-lifecycle	5.3.12-1jammy.20260304.214549
ros-humble-rcl-logging-interface	2.3.2-1jammy.20260304.204603
ros-humble-rcl-logging-spdlog	2.3.2-1jammy.20260304.204758
ros-humble-rcl-yaml-param-parser	5.3.12-1jammy.20260304.205000
ros-humble-rclcpp	16.0.19-1jammy.20260325.211007
ros-humble-rclcpp-action	16.0.19-1jammy.20260325.214934
ros-humble-rclcpp-components	16.0.19-1jammy.20260325.221939
ros-humble-rclcpp-lifecycle	16.0.19-1jammy.20260325.222022
ros-humble-rclpy	3.3.21-1jammy.20260310.163951
ros-humble-rcpputils	2.4.6-1jammy.20260304.204148
ros-humble-rcutils	5.1.8-1jammy.20260304.203555
ros-humble-resource-retriever	3.1.3-1jammy.20260304.202624
ros-humble-rmw	6.1.2-1jammy.20260304.204455
ros-humble-rmw-dds-common	1.6.0-2jammy.20260304.211309
ros-humble-rmw-fastrtps-cpp	6.2.10-1jammy.20260304.212617
ros-humble-rmw-fastrtps-shared-cpp	6.2.10-1jammy.20260304.211712
ros-humble-rmw-implementation	2.8.5-1jammy.20260304.213028
ros-humble-rmw-implementation-cmake	6.1.2-1jammy.20260304.202612
ros-humble-robot-state-publisher	3.0.3-2jammy.20260325.225743
ros-humble-ros-base	0.10.0-1jammy.20260326.013101
ros-humble-ros-core	0.10.0-1jammy.20260326.002036
ros-humble-ros-environment	3.2.2-1jammy.20260226.005101
ros-humble-ros-workspace	1.0.2-2jammy.20260224.185744
ros-humble-ros2action	0.18.18-1jammy.20260310.171635
ros-humble-ros2bag	0.15.16-1jammy.20260326.012325
ros-humble-ros2cli	0.18.18-1jammy.20260310.165616
ros-humble-ros2cli-common-extensions	0.1.2-1jammy.20260326.001902
ros-humble-ros2component	0.18.18-1jammy.20260325.231957
ros-humble-ros2doctor	0.18.18-1jammy.20260310.171653
ros-humble-ros2interface	0.18.18-1jammy.20260310.171904
ros-humble-ros2launch	0.19.13-1jammy.20260310.172117
ros-humble-ros2lifecycle	0.18.18-1jammy.20260326.001536
ros-humble-ros2multicast	0.18.18-1jammy.20260310.172044
ros-humble-ros2node	0.18.18-1jammy.20260310.171656
ros-humble-ros2param	0.18.18-1jammy.20260310.172107
ros-humble-ros2pkg	0.18.18-1jammy.20260310.171912
ros-humble-ros2plugin	5.1.3-1jammy.20260310.172111
ros-humble-ros2run	0.18.18-1jammy.20260310.172139
ros-humble-ros2service	0.18.18-1jammy.20260310.171717
ros-humble-ros2topic	0.18.18-1jammy.20260310.171754
ros-humble-rosbag2	0.15.16-1jammy.20260326.012945
ros-humble-rosbag2-compression	0.15.16-1jammy.20260326.005038
ros-humble-rosbag2-compression-zstd	0.15.16-1jammy.20260326.005625
ros-humble-rosbag2-cpp	0.15.16-1jammy.20260326.002258
ros-humble-rosbag2-interfaces	0.15.16-1jammy.20260304.212227
ros-humble-rosbag2-py	0.15.16-1jammy.20260326.011757
ros-humble-rosbag2-storage	0.15.16-1jammy.20260326.001540
ros-humble-rosbag2-storage-default-plugins	0.15.16-1jammy.20260326.001949
ros-humble-rosbag2-storage-mcap	0.15.16-1jammy.20260606.045723
ros-humble-rosbag2-transport	0.15.16-1jammy.20260326.005901
ros-humble-rosgraph-msgs	1.2.2-1jammy.20260304.212234
ros-humble-rosidl-adapter	3.1.8-1jammy.20260304.201231
ros-humble-rosidl-cli	3.1.8-1jammy.20260304.195449
ros-humble-rosidl-cmake	3.1.8-1jammy.20260304.202821
ros-humble-rosidl-default-generators	1.2.1-1jammy.20260304.210325
ros-humble-rosidl-default-runtime	1.2.1-1jammy.20260304.210145
ros-humble-rosidl-generator-c	3.1.8-1jammy.20260304.204455
ros-humble-rosidl-generator-cpp	3.1.8-1jammy.20260304.204902
ros-humble-rosidl-generator-py	0.14.6-1jammy.20260304.205753
ros-humble-rosidl-generator-rs	0.4.11-1jammy.20260304.204858
ros-humble-rosidl-parser	3.1.8-1jammy.20260304.202637
ros-humble-rosidl-runtime-c	3.1.8-1jammy.20260304.204205
ros-humble-rosidl-runtime-cpp	3.1.8-1jammy.20260304.204656
ros-humble-rosidl-runtime-py	0.9.3-1jammy.20260305.004241
ros-humble-rosidl-typesupport-c	2.0.2-1jammy.20260304.204636
ros-humble-rosidl-typesupport-cpp	2.0.2-1jammy.20260304.205041
ros-humble-rosidl-typesupport-fastrtps-c	2.2.4-1jammy.20260304.205703
ros-humble-rosidl-typesupport-fastrtps-cpp	2.2.4-1jammy.20260304.205234
ros-humble-rosidl-typesupport-interface	3.1.8-1jammy.20260304.202725
ros-humble-rosidl-typesupport-introspection-c	3.1.8-1jammy.20260304.204454
ros-humble-rosidl-typesupport-introspection-cpp	3.1.8-1jammy.20260304.204904
ros-humble-rpyutils	0.2.2-1jammy.20260304.195455
ros-humble-rqt-action	2.0.1-3jammy.20260310.173038
ros-humble-rqt-bag	1.1.6-1jammy.20260326.012059
ros-humble-rqt-bag-plugins	1.1.6-1jammy.20260326.013109
ros-humble-rqt-common-plugins	1.2.0-1jammy.20260326.013141
ros-humble-rqt-console	2.0.3-1jammy.20260310.172905
ros-humble-rqt-graph	1.3.2-1jammy.20260310.173207
ros-humble-rqt-gui	1.1.9-1jammy.20260310.165623
ros-humble-rqt-gui-cpp	1.1.9-1jammy.20260325.231730
ros-humble-rqt-gui-py	1.1.9-1jammy.20260310.172533
ros-humble-rqt-image-view	1.2.0-2jammy.20260325.232035
ros-humble-rqt-msg	1.2.0-1jammy.20260310.173008
ros-humble-rqt-plot	1.1.5-1jammy.20260310.172950
ros-humble-rqt-publisher	1.5.0-1jammy.20260310.173209
ros-humble-rqt-py-common	1.1.9-1jammy.20260310.165621
ros-humble-rqt-py-console	1.0.2-3jammy.20260310.172957
ros-humble-rqt-reconfigure	1.1.4-1jammy.20260317.155117
ros-humble-rqt-service-caller	1.0.5-3jammy.20260310.173219
ros-humble-rqt-shell	1.0.2-3jammy.20260310.173220
ros-humble-rqt-srv	1.0.3-3jammy.20260310.173044
ros-humble-rqt-topic	1.5.1-1jammy.20260310.173222
ros-humble-rttest	0.13.0-2jammy.20260304.202749
ros-humble-rviz-assimp-vendor	11.2.26-1jammy.20260304.200321
ros-humble-rviz-common	11.2.26-1jammy.20260325.234558
ros-humble-rviz-default-plugins	11.2.26-1jammy.20260326.011153
ros-humble-rviz-ogre-vendor	11.2.26-1jammy.20260304.200738
ros-humble-rviz-rendering	11.2.26-1jammy.20260304.205048
ros-humble-rviz2	11.2.26-1jammy.20260422.110656
ros-humble-sdl2-vendor	3.3.0-1jammy.20260304.195240
ros-humble-sensor-msgs	4.9.1-1jammy.20260304.214918
ros-humble-sensor-msgs-py	4.9.1-1jammy.20260305.005829
ros-humble-shape-msgs	4.9.1-1jammy.20260304.215030
ros-humble-shared-queues-vendor	0.15.16-1jammy.20260304.075306
ros-humble-smclib	4.1.4-1jammy.20260317.155122
ros-humble-sophus	1.22.9102-2jammy.20260226.005142
ros-humble-spdlog-vendor	1.3.1-1jammy.20260304.202915
ros-humble-sqlite3-vendor	0.15.16-1jammy.20260304.195038
ros-humble-sros2	0.10.9-1jammy.20260310.172439
ros-humble-sros2-cmake	0.10.9-1jammy.20260310.173144
ros-humble-statistics-msgs	1.2.2-1jammy.20260304.212246
ros-humble-std-msgs	4.9.1-1jammy.20260304.212507
ros-humble-std-srvs	4.9.1-1jammy.20260304.210947
ros-humble-stereo-msgs	4.9.1-1jammy.20260304.220147
ros-humble-tango-icons-vendor	0.1.1-3jammy.20260304.202920
ros-humble-teleop-twist-joy	2.4.8-1jammy.20260325.231400
ros-humble-teleop-twist-keyboard	2.4.1-1jammy.20260310.165649
ros-humble-tf2	0.25.20-2jammy.20260325.210914
ros-humble-tf2-bullet	0.25.20-2jammy.20260325.233658
ros-humble-tf2-eigen	0.25.20-2jammy.20260325.224533
ros-humble-tf2-eigen-kdl	0.25.20-2jammy.20260325.211356
ros-humble-tf2-geometry-msgs	0.25.20-2jammy.20260325.233700
ros-humble-tf2-kdl	0.25.20-2jammy.20260325.233705
ros-humble-tf2-msgs	0.25.20-2jammy.20260325.211010
ros-humble-tf2-py	0.25.20-2jammy.20260325.211413
ros-humble-tf2-ros	0.25.20-2jammy.20260421.080016
ros-humble-tf2-ros-py	0.25.20-2jammy.20260325.211707
ros-humble-tf2-sensor-msgs	0.25.20-2jammy.20260325.224529
ros-humble-tf2-tools	0.25.20-2jammy.20260325.211909
ros-humble-tinyxml-vendor	0.8.3-2jammy.20260304.195406
ros-humble-tinyxml2-vendor	0.7.7-1jammy.20260304.195411
ros-humble-tlsf	0.7.0-2jammy.20260304.202930
ros-humble-tlsf-cpp	0.13.0-2jammy.20260325.231832
ros-humble-topic-monitor	0.20.9-1jammy.20260325.211011
ros-humble-tracetools	4.1.2-1jammy.20260304.201640
ros-humble-trajectory-msgs	4.9.1-1jammy.20260304.215209
ros-humble-turtlesim	1.4.3-1jammy.20260325.220651
ros-humble-uncrustify-vendor	2.0.2-2jammy.20260304.195304
ros-humble-unique-identifier-msgs	2.2.1-3jammy.20260304.210949
ros-humble-urdf	2.6.1-1jammy.20260304.205131
ros-humble-urdf-parser-plugin	2.6.1-1jammy.20260304.201738
ros-humble-urdfdom	3.0.2-2jammy.20260304.202852
ros-humble-urdfdom-headers	1.0.6-2jammy.20260226.012553
ros-humble-visualization-msgs	4.9.1-1jammy.20260304.220204
ros-humble-xacro	2.1.1-1jammy.20260304.195513
ros-humble-yaml-cpp-vendor	8.0.2-1jammy.20260304.195332
ros-humble-zstd-vendor	0.15.16-1jammy.20260304.195400
